optimizer,learning_rate,weight_decay,momentum,seed,resolved_seed,validation_accuracy,validation_loss,best_validation_epoch,training_time_seconds,uses_test_split
RMSProp,0.03,0.0005,0.0,44,1907655278,0.796,0.7493188381195068,76,3.7813284750154708,False
RMSProp,0.03,0.005,0.0,42,1326751566,0.448,1.7344748973846436,183,4.436675684002694,False
RMSProp,0.03,0.005,0.0,43,326786782,0.378,1.74794602394104,193,3.4820017780002672,False
RMSProp,0.03,0.005,0.0,44,1907655278,0.47,1.6520859003067017,151,3.3187045770173427,False
AdaGrad,0.001,0.0,0.0,42,529857315,0.62,1.9261456727981567,179,3.638817035011016,False
AdaGrad,0.001,0.0,0.0,43,947257833,0.716,1.9281225204467773,193,2.7158035349857528,False
AdaGrad,0.001,0.0,0.0,44,373367964,0.65,1.9278596639633179,198,2.7075046899844892,False
AdaGrad,0.001,0.0005,0.0,42,529857315,0.62,1.9291512966156006,163,2.7051342180056963,False
AdaGrad,0.001,0.0005,0.0,43,947257833,0.716,1.9303677082061768,198,2.6707790289947297,False
AdaGrad,0.001,0.0005,0.0,44,373367964,0.662,1.9299640655517578,187,2.7229435610061046,False
AdaGrad,0.001,0.005,0.0,42,529857315,0.578,1.9382675886154175,198,2.7083893819944933,False
AdaGrad,0.001,0.005,0.0,43,947257833,0.642,1.939234972000122,200,2.7113161779998336,False
AdaGrad,0.001,0.005,0.0,44,373367964,0.554,1.9391965866088867,185,2.6548893970029894,False
AdaGrad,0.003,0.0,0.0,42,529857315,0.69,1.8707786798477173,181,2.6800226559862494,False
AdaGrad,0.003,0.0,0.0,43,947257833,0.752,1.8793978691101074,115,2.655484554998111,False
AdaGrad,0.003,0.0,0.0,44,373367964,0.718,1.8778514862060547,150,2.7235256400017533,False
AdaGrad,0.003,0.0005,0.0,42,529857315,0.686,1.8820796012878418,164,2.756722905993229,False
AdaGrad,0.003,0.0005,0.0,43,947257833,0.742,1.889811635017395,151,3.387465161998989,False
AdaGrad,0.003,0.0005,0.0,44,373367964,0.718,1.888191819190979,137,3.1492657320050057,False
AdaGrad,0.003,0.005,0.0,42,529857315,0.604,1.9245446920394897,75,4.233837715990376,False
AdaGrad,0.003,0.005,0.0,43,947257833,0.648,1.9298655986785889,99,3.96618167302222,False
AdaGrad,0.003,0.005,0.0,44,373367964,0.58,1.927978277206421,95,3.5624079809931573,False
AdaGrad,0.01,0.0,0.0,42,529857315,0.748,1.5661962032318115,186,2.698934077983722,False
AdaGrad,0.01,0.0,0.0,43,947257833,0.784,1.5827159881591797,57,2.643187832989497,False
AdaGrad,0.01,0.0,0.0,44,373367964,0.764,1.5801019668579102,192,2.6779949930205476,False
AdaGrad,0.01,0.0005,0.0,42,529857315,0.738,1.6551746129989624,167,2.7374021190044004,False
AdaGrad,0.01,0.0005,0.0,43,947257833,0.746,1.6863154172897339,188,2.705626081005903,False
AdaGrad,0.01,0.0005,0.0,44,373367964,0.754,1.665286660194397,188,2.8016031279985327,False
AdaGrad,0.01,0.005,0.0,42,529857315,0.552,1.8845728635787964,23,2.8192197490134276,False
AdaGrad,0.01,0.005,0.0,43,947257833,0.502,1.8978886604309082,13,2.7888303119980264,False
AdaGrad,0.01,0.005,0.0,44,373367964,0.5,1.8966689109802246,8,2.897622671996942,False
AdaGrad,0.03,0.0,0.0,42,529857315,0.792,0.9400987029075623,116,2.844342697993852,False
AdaGrad,0.03,0.0,0.0,43,947257833,0.778,0.9686523675918579,146,3.565135643002577,False
AdaGrad,0.03,0.0,0.0,44,373367964,0.788,0.9467621445655823,135,2.7194549470150378,False
AdaGrad,0.03,0.0005,0.0,42,529857315,0.78,1.2034900188446045,199,2.8221415269945282,False
AdaGrad,0.03,0.0005,0.0,43,947257833,0.79,1.1758182048797607,196,2.8739289329969324,False
AdaGrad,0.03,0.0005,0.0,44,373367964,0.782,1.2544214725494385,116,3.070046028995421,False
AdaGrad,0.03,0.005,0.0,42,529857315,0.522,1.8048850297927856,183,3.380456429993501,False
AdaGrad,0.03,0.005,0.0,43,947257833,0.498,1.8173202276229858,26,3.392166564008221,False
AdaGrad,0.03,0.005,0.0,44,373367964,0.492,1.8072398900985718,14,3.786072890012292,False
SGD,0.001,0.0,0.0,42,814859128,0.286,1.9436657428741455,1,2.653849366994109,False
SGD,0.001,0.0,0.0,43,1017605040,0.15,1.945481538772583,5,2.6268968129879795,False
SGD,0.001,0.0,0.0,44,1001620071,0.116,1.94597589969635,42,2.754358364007203,False
SGD,0.001,0.0,0.9,42,814859128,0.242,1.9426873922348022,1,2.743020499998238,False
SGD,0.001,0.0,0.9,43,1017605040,0.088,1.9455047845840454,2,3.4972807799931616,False
SGD,0.001,0.0,0.9,44,1001620071,0.056,1.9460155963897705,1,2.6698400280147325,False
SGD,0.001,0.0005,0.0,42,814859128,0.286,1.9436663389205933,1,2.6359628250065725,False
SGD,0.001,0.0005,0.0,43,1017605040,0.15,1.945481538772583,5,2.680170632986119,False
SGD,0.001,0.0005,0.0,44,1001620071,0.116,1.9459757804870605,42,2.7194730660121422,False
SGD,0.001,0.0005,0.9,42,814859128,0.242,1.942691683769226,1,2.696547700994415,False
SGD,0.001,0.0005,0.9,43,1017605040,0.088,1.9455053806304932,2,2.69010263500968,False
SGD,0.001,0.0005,0.9,44,1001620071,0.056,1.946014404296875,1,4.197529567987658,False
SGD,0.001,0.005,0.0,42,814859128,0.286,1.9436701536178589,1,3.569655094004702,False
