dataset,protocol,robustness_setting,optimizer,perturbation_type,requested_severity,n_seeds,mean_test_accuracy,std_test_accuracy,ci95_test_accuracy_half_width,mean_macro_f1,std_macro_f1,ci95_macro_f1_half_width,clean_to_perturbed_accuracy_drop,robustness_score_auc
Cora,fixed,training_time,RMSProp,feature_masking,0.3,10,0.7875,0.011058,0.006854,0.776539,0.011076,0.006865,0.020367,0.795487
Cora,fixed,training_time,SGD,clean,0.0,10,0.149467,0.021337,0.010798,0.071778,0.026358,0.013339,0.0,0.149467
Cora,fixed,training_time,SGD,edge_removal,0.05,10,0.1581,0.041498,0.025721,0.083049,0.019076,0.011823,-0.008633,0.14289
Cora,fixed,training_time,SGD,edge_removal,0.1,10,0.1274,0.023472,0.014548,0.060579,0.022706,0.014074,0.022067,0.14289
Cora,fixed,training_time,SGD,edge_removal,0.2,10,0.14,0.012364,0.006257,0.078802,0.024233,0.012264,0.009467,0.14289
Cora,fixed,training_time,SGD,edge_removal,0.3,10,0.1643,0.053254,0.033007,0.085471,0.030027,0.018611,-0.014833,0.14289
Cora,fixed,training_time,SGD,fake_edge_addition,0.05,10,0.1236,0.027342,0.016947,0.061183,0.028831,0.017869,0.025867,0.13223
Cora,fixed,training_time,SGD,fake_edge_addition,0.1,10,0.1413,0.031102,0.019277,0.061295,0.026588,0.01648,0.008167,0.13223
Cora,fixed,training_time,SGD,fake_edge_addition,0.2,10,0.1326,0.027147,0.013738,0.061519,0.022278,0.011274,0.016867,0.13223
Cora,fixed,training_time,SGD,fake_edge_addition,0.3,10,0.1222,0.028974,0.017958,0.056278,0.025723,0.015943,0.027267,0.13223
Cora,fixed,training_time,SGD,feature_masking,0.05,10,0.1356,0.070236,0.043533,0.055091,0.023749,0.01472,0.013867,0.14084
Cora,fixed,training_time,SGD,feature_masking,0.1,10,0.165,0.075906,0.047047,0.079017,0.043188,0.026768,-0.015533,0.14084
Cora,fixed,training_time,SGD,feature_masking,0.2,10,0.1294,0.035544,0.017988,0.060564,0.028254,0.014299,0.020067,0.14084
Cora,fixed,training_time,SGD,feature_masking,0.3,10,0.1301,0.029775,0.018455,0.051969,0.018154,0.011252,0.019367,0.14084
Cora,tuned,training_time,AdaGrad,clean,0.0,5,0.7866,0.005941,0.005208,0.780715,0.003885,0.003406,0.0,0.7866
Cora,tuned,training_time,AdaGrad,edge_removal,0.2,5,0.774,0.017132,0.015017,0.760604,0.016372,0.014351,0.0126,0.774
Cora,tuned,training_time,AdaGrad,fake_edge_addition,0.2,5,0.7464,0.016562,0.014517,0.738953,0.015912,0.013948,0.0402,0.7464
Cora,tuned,training_time,AdaGrad,feature_masking,0.2,5,0.7724,0.011014,0.009654,0.762345,0.012609,0.011053,0.0142,0.7724
Cora,tuned,training_time,Adam,clean,0.0,5,0.8064,0.00503,0.004409,0.795834,0.00453,0.003971,0.0,0.8064
Cora,tuned,training_time,Adam,edge_removal,0.2,5,0.7914,0.007635,0.006693,0.778788,0.006049,0.005302,0.015,0.7914
Cora,tuned,training_time,Adam,fake_edge_addition,0.2,5,0.7668,0.008044,0.007051,0.758028,0.008976,0.007868,0.0396,0.7668
Cora,tuned,training_time,Adam,feature_masking,0.2,5,0.7912,0.009985,0.008752,0.779045,0.009204,0.008068,0.0152,0.7912
Cora,tuned,training_time,AdamW,clean,0.0,5,0.7994,0.010431,0.009143,0.791458,0.01119,0.009808,0.0,0.7994
Cora,tuned,training_time,AdamW,edge_removal,0.2,5,0.7754,0.013885,0.012171,0.764428,0.015039,0.013182,0.024,0.7754
Cora,tuned,training_time,AdamW,fake_edge_addition,0.2,5,0.7352,0.017456,0.015301,0.726404,0.016119,0.014129,0.0642,0.7352
Cora,tuned,training_time,AdamW,feature_masking,0.2,5,0.7782,0.008349,0.007318,0.76936,0.005809,0.005092,0.0212,0.7782
Cora,tuned,training_time,RMSProp,clean,0.0,5,0.7824,0.016365,0.014344,0.777881,0.009353,0.008199,0.0,0.7824
Cora,tuned,training_time,RMSProp,edge_removal,0.2,5,0.7626,0.026178,0.022946,0.745677,0.030736,0.026941,0.0198,0.7626
Cora,tuned,training_time,RMSProp,fake_edge_addition,0.2,5,0.7456,0.026255,0.023013,0.732406,0.029702,0.026035,0.0368,0.7456
Cora,tuned,training_time,RMSProp,feature_masking,0.2,5,0.7776,0.022143,0.019409,0.767566,0.021869,0.019169,0.0048,0.7776
Cora,tuned,training_time,SGD,clean,0.0,5,0.2768,0.049058,0.043001,0.226936,0.037766,0.033103,0.0,0.2768
Cora,tuned,training_time,SGD,edge_removal,0.2,5,0.2756,0.071727,0.062872,0.248313,0.077834,0.068224,0.0012,0.2756
Cora,tuned,training_time,SGD,fake_edge_addition,0.2,5,0.254,0.036056,0.031604,0.250072,0.046592,0.04084,0.0228,0.254
Cora,tuned,training_time,SGD,feature_masking,0.2,5,0.2086,0.024017,0.021052,0.184671,0.039316,0.034462,0.0682,0.2086
PubMed,fixed,training_time,AdaGrad,clean,0.0,5,0.7458,0.007759,0.006801,0.745764,0.006519,0.005714,0.0,0.7458
PubMed,fixed,training_time,AdaGrad,edge_removal,0.2,5,0.7504,0.011371,0.009967,0.748876,0.009005,0.007894,-0.0046,0.7504
PubMed,fixed,training_time,AdaGrad,fake_edge_addition,0.2,5,0.7202,0.024631,0.02159,0.717995,0.024145,0.021164,0.0256,0.7202
PubMed,fixed,training_time,AdaGrad,feature_masking,0.2,5,0.734,0.013675,0.011986,0.734703,0.010848,0.009509,0.0118,0.734
PubMed,fixed,training_time,Adam,clean,0.0,5,0.789,0.004359,0.003821,0.785007,0.003487,0.003057,0.0,0.789
PubMed,fixed,training_time,Adam,edge_removal,0.2,5,0.7826,0.007668,0.006721,0.7791,0.004793,0.004201,0.0064,0.7826
PubMed,fixed,training_time,Adam,fake_edge_addition,0.2,5,0.7448,0.010257,0.00899,0.740465,0.009382,0.008224,0.0442,0.7448
PubMed,fixed,training_time,Adam,feature_masking,0.2,5,0.7848,0.010663,0.009347,0.7815,0.010534,0.009233,0.0042,0.7848
PubMed,fixed,training_time,AdamW,clean,0.0,5,0.7648,0.002864,0.00251,0.760563,0.003568,0.003127,0.0,0.7648
PubMed,fixed,training_time,AdamW,edge_removal,0.2,5,0.7514,0.011803,0.010345,0.749924,0.013256,0.01162,0.0134,0.7514
PubMed,fixed,training_time,AdamW,fake_edge_addition,0.2,5,0.7268,0.013791,0.012089,0.724877,0.013701,0.01201,0.038,0.7268
PubMed,fixed,training_time,AdamW,feature_masking,0.2,5,0.7612,0.004604,0.004036,0.758626,0.004791,0.004199,0.0036,0.7612
PubMed,fixed,training_time,RMSProp,clean,0.0,5,0.789,0.007382,0.006471,0.784903,0.007179,0.006293,0.0,0.789
PubMed,fixed,training_time,RMSProp,edge_removal,0.2,5,0.7686,0.00805,0.007056,0.766048,0.007724,0.00677,0.0204,0.7686
PubMed,fixed,training_time,RMSProp,fake_edge_addition,0.2,5,0.7446,0.012054,0.010566,0.7382,0.013116,0.011497,0.0444,0.7446
PubMed,fixed,training_time,RMSProp,feature_masking,0.2,5,0.7858,0.008438,0.007396,0.781193,0.007509,0.006582,0.0032,0.7858
PubMed,fixed,training_time,SGD,clean,0.0,5,0.3312,0.11215,0.098304,0.249094,0.089767,0.078684,0.0,0.3312
PubMed,fixed,training_time,SGD,edge_removal,0.2,5,0.347,0.08252,0.072332,0.258782,0.057879,0.050733,-0.0158,0.347
PubMed,fixed,training_time,SGD,fake_edge_addition,0.2,5,0.3198,0.056313,0.049361,0.282589,0.052918,0.046384,0.0114,0.3198
PubMed,fixed,training_time,SGD,feature_masking,0.2,5,0.3424,0.057405,0.050317,0.284103,0.040876,0.035829,-0.0112,0.3424
